code,exchange,source,as_of
512370,SSE,sse_etf_fundlist,2026-02-10
512380,SSE,sse_etf_fundlist,2026-02-10
512390,SSE,sse_etf_fundlist,2026-02-10
512400,SSE,sse_etf_fundlist,2026-02-10
512480,SSE,sse_etf_fundlist,2026-02-10
512500,SSE,sse_etf_fundlist,2026-02-10
512510,SSE,sse_etf_fundlist,2026-02-10
512520,SSE,sse_etf_fundlist,2026-02-10
512530,SSE,sse_etf_fundlist,2026-02-10
512550,SSE,sse_etf_fundlist,2026-02-10
512560,SSE,sse_etf_fundlist,2026-02-10
512570,SSE,sse_etf_fundlist,2026-02-10
512580,SSE,sse_etf_fundlist,2026-02-10
512600,SSE,sse_etf_fundlist,2026-02-10
512620,SSE,sse_etf_fundlist,2026-02-10
512630,SSE,sse_etf_fundlist,2026-02-10
512640,SSE,sse_etf_fundlist,2026-02-10
512650,SSE,sse_etf_fundlist,2026-02-10
512660,SSE,sse_etf_fundlist,2026-02-10
512670,SSE,sse_etf_fundlist,2026-02-10
512680,SSE,sse_etf_fundlist,2026-02-10
512690,SSE,sse_etf_fundlist,2026-02-10
512700,SSE,sse_etf_fundlist,2026-02-10
512710,SSE,sse_etf_fundlist,2026-02-10
512720,SSE,sse_etf_fundlist,2026-02-10
512730,SSE,sse_etf_fundlist,2026-02-10
512750,SSE,sse_etf_fundlist,2026-02-10
512760,SSE,sse_etf_fundlist,2026-02-10
512770,SSE,sse_etf_fundlist,2026-02-10
512800,SSE,sse_etf_fundlist,2026-02-10
512810,SSE,sse_etf_fundlist,2026-02-10
512820,SSE,sse_etf_fundlist,2026-02-10
512870,SSE,sse_etf_fundlist,2026-02-10
512880,SSE,sse_etf_fundlist,2026-02-10
512890,SSE,sse_etf_fundlist,2026-02-10
512900,SSE,sse_etf_fundlist,2026-02-10
512910,SSE,sse_etf_fundlist,2026-02-10
512930,SSE,sse_etf_fundlist,2026-02-10
512950,SSE,sse_etf_fundlist,2026-02-10
512960,SSE,sse_etf_fundlist,2026-02-10
512970,SSE,sse_etf_fundlist,2026-02-10
512980,SSE,sse_etf_fundlist,2026-02-10
512990,SSE,sse_etf_fundlist,2026-02-10
513000,SSE,sse_etf_fundlist,2026-02-10
513010,SSE,sse_etf_fundlist,2026-02-10
513020,SSE,sse_etf_fundlist,2026-02-10
513030,SSE,sse_etf_fundlist,2026-02-10
513040,SSE,sse_etf_fundlist,2026-02-10
513050,SSE,sse_etf_fundlist,2026-02-10
513060,SSE,sse_etf_fundlist,2026-02-10
513070,SSE,sse_etf_fundlist,2026-02-10
513080,SSE,sse_etf_fundlist,2026-02-10
513090,SSE,sse_etf_fundlist,2026-02-10
513100,SSE,sse_etf_fundlist,2026-02-10
513110,SSE,sse_etf_fundlist,2026-02-10
513120,SSE,sse_etf_fundlist,2026-02-10
513130,SSE,sse_etf_fundlist,2026-02-10
513140,SSE,sse_etf_fundlist,2026-02-10
513150,SSE,sse_etf_fundlist,2026-02-10
513160,SSE,sse_etf_fundlist,2026-02-10
513170,SSE,sse_etf_fundlist,2026-02-10
513180,SSE,sse_etf_fundlist,2026-02-10
513190,SSE,sse_etf_fundlist,2026-02-10
513200,SSE,sse_etf_fundlist,2026-02-10
513210,SSE,sse_etf_fundlist,2026-02-10
513220,SSE,sse_etf_fundlist,2026-02-10
513230,SSE,sse_etf_fundlist,2026-02-10
513260,SSE,sse_etf_fundlist,2026-02-10
513280,SSE,sse_etf_fundlist,2026-02-10
513290,SSE,sse_etf_fundlist,2026-02-10
513300,SSE,sse_etf_fundlist,2026-02-10
513310,SSE,sse_etf_fundlist,2026-02-10
513320,SSE,sse_etf_fundlist,2026-02-10
513330,SSE,sse_etf_fundlist,2026-02-10
513350,SSE,sse_etf_fundlist,2026-02-10
513360,SSE,sse_etf_fundlist,2026-02-10
513380,SSE,sse_etf_fundlist,2026-02-10
513390,SSE,sse_etf_fundlist,2026-02-10
513400,SSE,sse_etf_fundlist,2026-02-10
513500,SSE,sse_etf_fundlist,2026-02-10
513520,SSE,sse_etf_fundlist,2026-02-10
513530,SSE,sse_etf_fundlist,2026-02-10
513550,SSE,sse_etf_fundlist,2026-02-10
513560,SSE,sse_etf_fundlist,2026-02-10
513580,SSE,sse_etf_fundlist,2026-02-10
513590,SSE,sse_etf_fundlist,2026-02-10
513600,SSE,sse_etf_fundlist,2026-02-10
513630,SSE,sse_etf_fundlist,2026-02-10
513650,SSE,sse_etf_fundlist,2026-02-10
513660,SSE,sse_etf_fundlist,2026-02-10
513690,SSE,sse_etf_fundlist,2026-02-10
513700,SSE,sse_etf_fundlist,2026-02-10
513720,SSE,sse_etf_fundlist,2026-02-10
513730,SSE,sse_etf_fundlist,2026-02-10
513750,SSE,sse_etf_fundlist,2026-02-10
513770,SSE,sse_etf_fundlist,2026-02-10
513780,SSE,sse_etf_fundlist,2026-02-10
513800,SSE,sse_etf_fundlist,2026-02-10
513810,SSE,sse_etf_fundlist,2026-02-10
